"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 22 16:24:52 CST 2020","Tue Dec 22 16:24:52 CST 2020","150","test","TestApi","TestApiAuto","","","用户管理|创建用户",""
"passed","Tue Dec 22 16:24:51 CST 2020","Tue Dec 22 16:24:52 CST 2020","1010","test","TestApi","TestApiAuto","","","用户管理|查看所有用户",""
"passed","Tue Dec 22 16:24:52 CST 2020","Tue Dec 22 16:24:53 CST 2020","125","test","TestApi","TestApiAuto","","","用户管理|查看某个用户",""
"passed","Tue Dec 22 16:24:51 CST 2020","Tue Dec 22 16:24:51 CST 2020","125","test","TestApi","TestApiAuto","","","登录管理|get请求实现登录",""
