"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","5","test","TestApi","TestApiAuto","","","测试请求数据与依赖数据相同key的情况",""
"broken","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","6","test","TestApi","TestApiAuto","","","添加用户正常接口数据",""
"broken","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","8","test","TestApi","TestApiAuto","","","get请求查询用户数据列表",""
"broken","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","10","test","TestApi","TestApiAuto","","","get请求查询用户数据列表",""
"passed","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","52","test","TestApi","TestApiAuto","","","get请求实现登录",""
"broken","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","8","test","TestApi","TestApiAuto","","","修改用户状态接口",""
"broken","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","8","test","TestApi","TestApiAuto","","","修改用户状态为2",""
"broken","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","7","test","TestApi","TestApiAuto","","","删除用户zy7y",""
"passed","Thu Dec 03 15:11:47 CST 2020","Thu Dec 03 15:11:47 CST 2020","91","test","TestApi","TestApiAuto","","","部门管理分页查询",""
