"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 03 15:12:42 CST 2020","Thu Dec 03 15:12:43 CST 2020","89","test","TestApi","TestApiAuto","","","get请求实现登录",""
"broken","Thu Dec 03 15:12:43 CST 2020","Thu Dec 03 15:12:43 CST 2020","10","test","TestApi","TestApiAuto","","","get请求查询用户数据列表",""
"broken","Thu Dec 03 15:12:43 CST 2020","Thu Dec 03 15:12:43 CST 2020","8","test","TestApi","TestApiAuto","","","修改用户状态为2",""
"broken","Thu Dec 03 15:12:43 CST 2020","Thu Dec 03 15:12:43 CST 2020","9","test","TestApi","TestApiAuto","","","修改用户状态接口",""
"broken","Thu Dec 03 15:12:43 CST 2020","Thu Dec 03 15:12:43 CST 2020","7","test","TestApi","TestApiAuto","","","添加用户正常接口数据",""
"passed","Thu Dec 03 15:12:43 CST 2020","Thu Dec 03 15:12:43 CST 2020","69","test","TestApi","TestApiAuto","","","部门管理分页查询",""
"broken","Thu Dec 03 15:12:43 CST 2020","Thu Dec 03 15:12:43 CST 2020","7","test","TestApi","TestApiAuto","","","删除用户zy7y",""
"broken","Thu Dec 03 15:12:43 CST 2020","Thu Dec 03 15:12:43 CST 2020","6","test","TestApi","TestApiAuto","","","测试请求数据与依赖数据相同key的情况",""
"broken","Thu Dec 03 15:12:43 CST 2020","Thu Dec 03 15:12:43 CST 2020","9","test","TestApi","TestApiAuto","","","get请求查询用户数据列表",""
